Valores em 10^6 Euros,N. Obs,% N. FCR,Ativos sob Gestao (10^6 Euro),% Ativos
[0-2[,10,13.69863014,11.5,0.3328798448
[2-10[,25,34.24657534,103.6,2.998813211
[10-20[,15,20.54794521,216.6,6.269719513
[20-40[,7,9.589041096,198.5,5.745795583
[40-100[,9,12.32876712,530.9,15.3674704
[100 - [,7,9.589041096,2393.6,69.28532145
Total,73,100,3454.7,100
Media por FCR em 10^6 Euros,48,,,
Mediana,11.3,,,
