,N.. Transacoes SCR,Preco Venda (10^3 Euro) SCR,% ('1) SCR,N.. Transacoes FCR,Preco Venda (10^3 Euro) FCR,% ('1) FCR,N.. Transacoes TOTAL,Preco Venda (10^3 Euro) TOTAL,% ('1) TOTAL
Contrato de venda a prazo,0,0,0,5,9783.2,6.075163318,5,9783.2,4.643962995
Recompra (pela equipa de gestao ou acionistas),8,305.8,0.6161732378,46,21708,13.4802156,54,22013.8,10.44967624
Venda a FCR,7,3547.4,7.147851353,26,25949.6,16.11416081,33,29497,14.00185793
Venda a SCR,0,0,0,2,1455.8,0.904021461,2,1455.8,0.691050099
IPO,0,0,0,0,0,0,0,0,0
Nao definido,4,183.9,0.3705502238,60,77182.1,47.92847562,64,77366,36.72467506
Venda a terceiros,26,45591.8,91.86542519,42,24957.2,15.49790109,68,70549,33.48873021
Write-off,12,0,0,72,0.1,0.00006209791599,84,0.1,0.00004746875251
Total,57,49628.9,100,253,161036,100,310,210664.9,100
