Tipo de Operacoes a Prazo,N.. de Operacoes SCR,Valorizacao em Carteira SCR,N.. de Operacoes FCR,Valorizacao em Carteira FCR,N.. de Operacoes Total,Valorizacao em Carteira Total
Patrimonio,2,-4804.7,20,-37012.4,22,-41817.1
Opcoes,2,-4804.7,20,-37012.4,22,-41817.1
Extrapatrimoniais,4,-890.4,113,17035.5,117,16145.1
Futuros,0,0,1,0.4,1,0.4
Forwards,0,0,1,0,1,0
Swaps,0,0,0,0,0,0
Opcoes,4,-890.4,111,17035.1,115,16144.7
Total,6,-5695.1,133,-19976.9,139,-25672
