Valor das Aquisicoes (€),N. Obs,% Tot,Valor Total,% Tot,Valor das Alienacoes (€),N. Obs,% Tot,Valor Total,% Tot,,Total ,Valor Medio,Valor Mediano,Valor Maximo
[0-50.000],100,34.36426117,778.70€,0.5591700988,[0-50.000],106,58.88888889,597.66€,0.5427368737,Aquisicoes,"139,259.95€","478,56 €","100,00 €","18.000,00 €"
[50.000-200.000],82,28.17869416,"8,421.69€",6.047460164,[50.000-200.000],24,13.33333333,"2,559.39€",2.324189886,Alienacoes,"110,119.66€","611,78 €","8,37 €","19.153,85 €"
[200.000-500.000],45,15.46391753,"14,165.95€",10.17230726,[200.000-500.000],8,4.444444444,"2,382.65€",2.163691751,,,,,
[500.000-5.000.000],60,20.6185567,"76,135.04€",54.67116712,[500.000-5.000.000],38,21.11111111,"64,667.55€",58.72479991,,,,,
[>=5.000.000],4,1.374570447,"39,758.57€",28.54989536,[>=5.000.000],4,2.222222222,"39,912.41€",36.24458158,,,,,
Total,291,100,"139,259.95€",100,Total,180,100,"110,119.66€",100,,,,,
